datetime,temp,precip,Number of Bicycle Hires
22/01/2011,4.8,0.004,10658
23/01/2011,7.1,0.299,9911
24/01/2011,6.5,0.303,17193
25/01/2011,6.6,0.139,17045
26/01/2011,6.2,0.504,16396
27/01/2011,2.7,0.498,16519
28/01/2011,1.5,0.0,15538
29/01/2011,1.7,0.298,9379
30/01/2011,2.8,0.0,9455
31/01/2011,2.4,0.0,16260
01/02/2011,3.7,0.0,16331
02/02/2011,6.7,0.498,18102
03/02/2011,7.7,0.001,15593
04/02/2011,11.1,0.0,14938
05/02/2011,12.1,0.001,8442
06/02/2011,10.9,0.001,9437
07/02/2011,9.3,0.0,16537
08/02/2011,5.8,0.0,19829
09/02/2011,8.4,0.002,18197
10/02/2011,9.6,9.894,11496
11/02/2011,10.4,0.503,16070
12/02/2011,9.1,1.501,12855
13/02/2011,7.6,0.023,7034
14/02/2011,6.9,2.015,17836
15/02/2011,6.1,1.308,15667
16/02/2011,7.2,0.502,18989
17/02/2011,6.7,0.498,18938
18/02/2011,5.2,0.0,17460
19/02/2011,5.3,7.108,6250
20/02/2011,5.1,0.0,7882
21/02/2011,5.7,0.498,13720
22/02/2011,6.0,0.997,15948
23/02/2011,8.5,2.008,12936
24/02/2011,10.8,0.0,19230
25/02/2011,11.1,0.001,18634
26/02/2011,9.1,3.32,7749
27/02/2011,5.9,2.012,8349
28/02/2011,4.6,0.5,13843
01/03/2011,4.4,0.496,15774
02/03/2011,4.5,0.0,16929
03/03/2011,2.7,0.0,16576
04/03/2011,3.8,0.0,16971
05/03/2011,4.4,0.0,9847
06/03/2011,4.9,0.001,7142
07/03/2011,4.8,0.0,16192
08/03/2011,5.4,0.0,17240
09/03/2011,7.8,0.0,18494
10/03/2011,9.5,0.0,18794
11/03/2011,8.3,0.0,19074
12/03/2011,10.1,0.0,15488
13/03/2011,9.6,1.007,10526
14/03/2011,7.5,0.0,19451
15/03/2011,8.8,0.001,19568
16/03/2011,8.5,0.001,19643
17/03/2011,6.3,0.0,20036
18/03/2011,6.5,5.086,14612
19/03/2011,6.2,0.0,17801
20/03/2011,7.8,0.299,14694
21/03/2011,9.5,0.0,20710
22/03/2011,11.8,0.001,21792
23/03/2011,11.5,0.0,23837
24/03/2011,10.2,0.0,23518
25/03/2011,11.4,0.0,24343
26/03/2011,9.6,0.0,16095
27/03/2011,9.8,0.001,17550
28/03/2011,9.9,0.0,21602
29/03/2011,10.1,0.003,22080
30/03/2011,10.6,1.997,18945
31/03/2011,13.2,3.608,20831
01/04/2011,13.6,0.001,22048
02/04/2011,15.1,0.0,19829
03/04/2011,11.4,0.0,17294
04/04/2011,10.0,0.0,20949
05/04/2011,11.0,1.103,16690
06/04/2011,16.8,0.001,25597
07/04/2011,15.4,0.0,25451
08/04/2011,15.6,0.0,26622
09/04/2011,13.0,0.0,22323
10/04/2011,12.6,0.0,21346
11/04/2011,13.1,0.0,22204
12/04/2011,10.7,0.001,23651
13/04/2011,9.0,0.0,18909
14/04/2011,10.7,0.0,22346
15/04/2011,12.6,0.0,22974
16/04/2011,13.4,0.0,19632
17/04/2011,13.9,0.0,22009
18/04/2011,13.2,0.0,24032
19/04/2011,17.0,0.0,27914
20/04/2011,17.3,0.0,27934
21/04/2011,17.9,0.0,26547
22/04/2011,18.2,0.0,23719
23/04/2011,18.6,0.496,19182
24/04/2011,17.3,0.998,21313
25/04/2011,15.2,0.0,21669
26/04/2011,12.1,0.0,22038
27/04/2011,12.1,0.0,24349
28/04/2011,11.2,0.0,23794
29/04/2011,14.2,0.0,19700
30/04/2011,15.6,0.0,21574
01/05/2011,14.8,0.0,19489
02/05/2011,12.3,0.0,18126
03/05/2011,10.4,0.0,23786
04/05/2011,10.9,0.0,26183
05/05/2011,13.4,0.496,23620
06/05/2011,17.6,0.0,28971
07/05/2011,18.6,1.02,22274
08/05/2011,17.1,3.525,21011
09/05/2011,16.0,0.001,27172
10/05/2011,16.1,0.0,29417
11/05/2011,14.0,0.0,27205
12/05/2011,13.9,0.0,23461
13/05/2011,13.8,0.0,23991
14/05/2011,12.9,0.0,21100
15/05/2011,12.6,0.0,19097
16/05/2011,15.0,0.0,24620
17/05/2011,14.5,0.0,25464
18/05/2011,15.0,2.291,23068
19/05/2011,14.1,0.0,27534
20/05/2011,14.8,0.298,27523
21/05/2011,15.6,0.0,24408
22/05/2011,14.8,1.497,19348
23/05/2011,14.1,0.001,24268
24/05/2011,13.7,0.0,27768
25/05/2011,14.7,0.0,28708
26/05/2011,13.4,14.964,18055
27/05/2011,12.9,0.001,22907
28/05/2011,12.9,0.0,15693
29/05/2011,16.0,0.001,18396
30/05/2011,15.0,0.011,16097
31/05/2011,12.9,0.503,23312
01/06/2011,14.8,0.0,26054
02/06/2011,18.1,0.0,26920
03/06/2011,19.1,0.0,26641
04/06/2011,19.1,0.0,15233
05/06/2011,15.0,5.089,8420
06/06/2011,12.3,17.261,13812
07/06/2011,14.7,0.0,22378
08/06/2011,13.5,2.293,23013
09/06/2011,13.5,0.003,25061
10/06/2011,11.7,4.084,20141
11/06/2011,12.7,1.999,21059
12/06/2011,11.7,6.108,6061
13/06/2011,17.5,0.81,23978
14/06/2011,16.9,0.0,28889
15/06/2011,17.0,0.001,25643
16/06/2011,14.2,12.958,17566
17/06/2011,12.6,1.54,15723
18/06/2011,13.9,13.16,13721
19/06/2011,15.1,0.001,17092
20/06/2011,15.1,2.001,20101
21/06/2011,17.2,1.001,26780
22/06/2011,15.0,3.033,22745
23/06/2011,15.3,0.004,24559
24/06/2011,14.9,0.301,22137
25/06/2011,17.5,6.078,17944
26/06/2011,21.9,0.0,23483
27/06/2011,25.2,0.0,26243
28/06/2011,19.1,4.124,21950
29/06/2011,16.9,0.001,28073
30/06/2011,15.8,0.0,27297
01/07/2011,16.5,0.0,27758
02/07/2011,17.5,0.0,22764
03/07/2011,18.2,0.0,21423
04/07/2011,20.0,0.0,27332
05/07/2011,18.6,0.007,24802
06/07/2011,16.4,4.592,26207
07/07/2011,15.8,0.859,20483
08/07/2011,15.6,9.882,19485
09/07/2011,17.0,0.003,21360
10/07/2011,17.3,0.0,20203
11/07/2011,18.8,0.0,26355
12/07/2011,17.5,0.0,26633
13/07/2011,15.4,0.0,25417
14/07/2011,17.6,0.0,26479
15/07/2011,18.2,0.0,27114
16/07/2011,16.2,0.564,10224
17/07/2011,15.6,3.5,10965
18/07/2011,15.3,2.009,18541
19/07/2011,15.1,3.045,21218
20/07/2011,15.5,0.026,21580
21/07/2011,15.4,23.937,20951
22/07/2011,15.9,0.001,25172
23/07/2011,15.3,0.508,20264
24/07/2011,17.3,0.0,22464
25/07/2011,18.0,0.0,25185
26/07/2011,17.0,0.0,25636
27/07/2011,17.3,0.0,24989
28/07/2011,19.0,0.0,26759
29/07/2011,17.3,0.0,25373
30/07/2011,16.6,0.0,23930
31/07/2011,18.4,0.0,21388
01/08/2011,21.7,0.0,22940
02/08/2011,22.5,1.303,24290
03/08/2011,22.3,0.0,26120
04/08/2011,18.4,11.417,15149
05/08/2011,19.4,0.0,26792
06/08/2011,17.0,0.0,20485
07/08/2011,15.3,4.579,14912
08/08/2011,16.5,9.536,23489
09/08/2011,16.7,0.001,23011
10/08/2011,17.1,0.0,24182
11/08/2011,18.0,0.804,20573
12/08/2011,19.0,0.001,22971
13/08/2011,18.5,0.01,20731
14/08/2011,18.2,0.001,21115
15/08/2011,17.1,0.0,23657
16/08/2011,17.4,0.0,24899
17/08/2011,16.7,0.502,23010
18/08/2011,14.7,9.714,16139
19/08/2011,15.7,0.002,25444
20/08/2011,17.0,4.086,17334
21/08/2011,18.9,0.0,21836
22/08/2011,17.6,0.0,25222
23/08/2011,15.6,7.895,10953
24/08/2011,16.6,0.5,22883
25/08/2011,16.3,6.114,20026
26/08/2011,14.5,11.868,12368
27/08/2011,14.2,4.596,14045
28/08/2011,15.0,0.004,15908
29/08/2011,14.3,0.497,17443
30/08/2011,14.8,0.0,21477
31/08/2011,15.7,0.0,23036
01/09/2011,15.7,0.0,25110
02/09/2011,19.2,0.0,25981
03/09/2011,18.6,0.0,24578
04/09/2011,16.9,4.105,14967
05/09/2011,15.3,0.501,21776
06/09/2011,16.1,9.415,13863
07/09/2011,14.4,0.0,22746
08/09/2011,16.1,0.501,23679
09/09/2011,18.6,1.298,23957
10/09/2011,19.5,0.004,20069
11/09/2011,16.9,4.404,17719
12/09/2011,18.4,0.006,21572
13/09/2011,15.1,0.005,23962
14/09/2011,14.1,0.298,25824
15/09/2011,14.2,0.0,25803
