datetime,temp,precip,Number of Bicycle Hires
10/09/2012,18.4,0.001,35489
11/09/2012,16.1,0.299,37276
12/09/2012,13.2,0.0,35654
13/09/2012,13.9,4.08,37938
14/09/2012,16.9,0.298,36653
15/09/2012,15.6,0.0,36493
16/09/2012,15.6,0.0,29785
17/09/2012,16.1,0.0,35954
18/09/2012,14.4,0.001,37026
19/09/2012,12.1,0.0,36136
20/09/2012,13.2,0.0,35929
21/09/2012,13.2,0.497,32347
22/09/2012,11.8,0.798,33867
23/09/2012,11.1,12.225,8452
24/09/2012,13.3,17.792,21229
25/09/2012,12.8,0.004,33706
26/09/2012,12.4,3.992,27202
27/09/2012,13.2,0.012,32416
28/09/2012,12.5,1.294,31880
29/09/2012,11.7,0.0,31223
30/09/2012,12.1,0.298,25263
01/10/2012,14.4,7.375,23627
02/10/2012,13.7,0.508,30107
03/10/2012,12.7,1.016,32695
04/10/2012,11.5,1.0,35136
05/10/2012,12.7,10.111,23773
06/10/2012,10.7,13.808,30424
07/10/2012,10.0,0.298,27168
08/10/2012,11.6,5.094,22984
09/10/2012,11.8,0.002,32965
10/10/2012,11.3,0.0,35221
11/10/2012,12.5,4.113,25324
12/10/2012,11.9,1.002,31694
13/10/2012,9.0,0.502,26289
14/10/2012,8.1,0.795,25440
15/10/2012,9.2,0.301,30558
16/10/2012,12.0,2.988,33253
17/10/2012,13.2,7.604,30285
18/10/2012,14.1,1.019,32566
19/10/2012,12.6,7.109,21001
20/10/2012,11.9,0.802,25411
21/10/2012,11.5,6.895,15563
22/10/2012,13.9,0.499,27294
23/10/2012,13.4,0.299,31996
24/10/2012,14.5,0.0,33882
25/10/2012,12.7,0.497,29515
26/10/2012,8.5,0.008,26404
27/10/2012,5.2,0.997,17144
28/10/2012,5.9,0.5,15305
29/10/2012,9.7,3.503,24276
30/10/2012,8.0,1.001,30325
31/10/2012,9.9,0.002,29241
01/11/2012,7.7,0.569,26888
02/11/2012,7.1,0.003,28748
03/11/2012,6.6,0.002,21498
04/11/2012,5.5,13.014,11693
05/11/2012,6.7,0.0,27666
06/11/2012,6.1,0.497,27038
07/11/2012,8.2,0.002,29537
08/11/2012,10.1,0.001,29895
09/11/2012,9.8,0.0,29349
10/11/2012,9.0,3.503,18018
11/11/2012,5.6,0.0,20971
12/11/2012,8.9,1.308,23680
13/11/2012,12.7,0.002,30511
14/11/2012,10.9,0.001,31453
15/11/2012,7.7,0.001,30165
16/11/2012,7.8,0.001,28143
17/11/2012,10.9,1.987,20325
18/11/2012,5.8,0.001,21664
19/11/2012,8.7,0.001,28127
20/11/2012,12.4,1.011,25921
21/11/2012,9.5,7.119,20554
22/11/2012,11.3,0.004,27783
23/11/2012,8.0,11.4,27973
24/11/2012,7.3,5.413,8902
25/11/2012,10.3,2.522,16894
26/11/2012,8.7,4.011,20656
27/11/2012,7.8,4.996,20388
28/11/2012,6.3,0.009,21403
29/11/2012,3.9,0.001,26212
30/11/2012,2.1,0.001,24838
01/12/2012,1.9,0.001,16068
02/12/2012,1.5,0.299,15227
03/12/2012,7.1,0.826,23592
04/12/2012,4.5,0.0,26144
05/12/2012,2.2,0.798,23111
06/12/2012,1.5,0.0,22645
07/12/2012,5.0,2.804,20140
08/12/2012,4.9,0.0,17805
09/12/2012,6.8,0.0,14147
10/12/2012,4.4,0.0,23937
11/12/2012,1.2,0.005,23531
12/12/2012,-0.4,0.001,22344
13/12/2012,0.7,0.001,21704
14/12/2012,6.9,10.213,17085
15/12/2012,8.7,0.007,16962
16/12/2012,7.3,2.984,14128
17/12/2012,7.0,0.007,22899
18/12/2012,6.9,0.0,23651
19/12/2012,5.9,3.007,16828
20/12/2012,8.3,28.25,12401
21/12/2012,7.8,0.001,20395
22/12/2012,10.1,12.22,5644
23/12/2012,11.8,6.085,9184
24/12/2012,9.9,4.309,7985
25/12/2012,8.1,1.901,16816
26/12/2012,7.7,8.86,10405
27/12/2012,7.6,8.862,9013
28/12/2012,9.7,0.025,10947
29/12/2012,10.5,0.808,8498
30/12/2012,7.9,0.007,11343
31/12/2012,10.9,4.115,8865
01/01/2013,6.5,4.323,12149
02/01/2013,6.8,0.498,16203
03/01/2013,10.8,0.001,21269
04/01/2013,9.9,0.298,22435
05/01/2013,9.4,0.0,16242
06/01/2013,7.8,0.001,13622
07/01/2013,8.3,0.3,23348
08/01/2013,10.2,0.0,25909
09/01/2013,7.6,0.512,25341
10/01/2013,2.6,0.299,24363
11/01/2013,2.9,0.299,23869
12/01/2013,3.8,0.517,13562
13/01/2013,2.7,0.002,12260
14/01/2013,1.5,0.519,17427
15/01/2013,1.8,0.004,22797
16/01/2013,-0.6,0.0,22460
17/01/2013,0.3,0.0,22210
18/01/2013,-0.4,0.299,13108
19/01/2013,0.5,0.996,7843
20/01/2013,-0.3,0.996,3728
21/01/2013,-0.1,2.986,13467
22/01/2013,0.8,1.004,18061
23/01/2013,2.4,1.299,19404
24/01/2013,2.0,0.001,20721
25/01/2013,1.4,0.001,20178
26/01/2013,5.3,0.035,14595
27/01/2013,8.2,1.55,13689
28/01/2013,6.8,0.504,18689
29/01/2013,12.0,0.515,21268
30/01/2013,10.3,1.059,23415
31/01/2013,9.0,0.009,21957
01/02/2013,6.4,6.102,18081
02/02/2013,4.5,0.001,15757
03/02/2013,5.1,0.0,13572
04/02/2013,9.2,0.0,23017
05/02/2013,4.7,0.009,21177
06/02/2013,5.0,1.0,20664
07/02/2013,3.5,0.299,20852
08/02/2013,3.6,2.985,20571
09/02/2013,3.1,0.999,11274
10/02/2013,3.5,7.146,4901
11/02/2013,1.5,11.867,13468
12/02/2013,2.0,0.5,20342
13/02/2013,2.0,0.001,21051
14/02/2013,8.0,1.523,21034
15/02/2013,6.6,0.0,22952
16/02/2013,7.1,0.0,19072
17/02/2013,5.1,0.0,19044
18/02/2013,4.5,0.001,22724
19/02/2013,4.7,0.001,24525
20/02/2013,3.5,0.997,20938
21/02/2013,1.9,0.0,19757
22/02/2013,1.3,0.0,18313
23/02/2013,1.3,0.0,11234
24/02/2013,1.9,0.0,9404
25/02/2013,3.6,0.0,19800
26/02/2013,4.2,0.302,19595
27/02/2013,4.0,0.299,21484
28/02/2013,4.6,0.0,21985
01/03/2013,5.0,0.5,19487
02/03/2013,3.6,0.001,15265
03/03/2013,4.0,0.0,14520
04/03/2013,5.0,0.0,23036
05/03/2013,8.7,0.0,27054
06/03/2013,10.3,0.0,24324
07/03/2013,8.9,2.521,17322
08/03/2013,9.3,8.895,13843
09/03/2013,6.5,5.575,14244
10/03/2013,2.8,0.0,10163
11/03/2013,0.1,0.001,16546
12/03/2013,1.4,0.0,18794
13/03/2013,3.4,0.794,20245
14/03/2013,3.5,0.001,21984
15/03/2013,6.2,1.005,17159
16/03/2013,6.9,4.06,9190
17/03/2013,5.4,4.934,7940
18/03/2013,3.9,8.866,15852
19/03/2013,5.0,1.005,22479
20/03/2013,4.3,0.002,22216
21/03/2013,4.2,0.0,22061
22/03/2013,3.9,0.526,16233
23/03/2013,1.8,7.792,5249
24/03/2013,0.9,0.499,6786
25/03/2013,1.5,0.001,17290
26/03/2013,1.6,0.0,18384
27/03/2013,2.0,0.0,19184
28/03/2013,2.3,0.0,18052
29/03/2013,2.7,0.0,10909
30/03/2013,3.3,0.0,9793
31/03/2013,2.4,0.001,9007
01/04/2013,3.2,0.0,9421
02/04/2013,4.1,0.0,19148
03/04/2013,3.0,0.0,17801
04/04/2013,2.5,0.498,15626
05/04/2013,4.6,0.0,18059
06/04/2013,5.4,0.298,18216
07/04/2013,5.2,0.0,18090
08/04/2013,6.5,0.0,21797
09/04/2013,6.5,1.303,17555
10/04/2013,7.1,0.0,22233
11/04/2013,8.0,10.371,19240
12/04/2013,9.2,2.534,15100
13/04/2013,9.3,1.031,11291
14/04/2013,15.2,1.004,25074
15/04/2013,13.1,2.978,24923
16/04/2013,12.8,0.0,26060
17/04/2013,13.6,0.0,25730
18/04/2013,11.0,2.991,23979
19/04/2013,9.6,0.0,24297
20/04/2013,8.3,0.298,26724
21/04/2013,8.6,0.0,22466
22/04/2013,10.5,0.0,25384
23/04/2013,14.8,0.0,31359
24/04/2013,15.0,0.0,30193
25/04/2013,16.2,0.499,32000
26/04/2013,10.5,4.291,23125
27/04/2013,7.5,0.004,17337
28/04/2013,7.9,1.491,19139
29/04/2013,10.7,0.001,27644
30/04/2013,10.1,0.0,29219
01/05/2013,10.2,0.0,31175
02/05/2013,11.7,0.0,31239
03/05/2013,12.8,0.0,31340
04/05/2013,12.5,0.399,19156
05/05/2013,13.5,0.0,24342
06/05/2013,16.3,0.0,29015
07/05/2013,15.4,0.0,30707
08/05/2013,14.0,1.204,26032
09/05/2013,11.1,0.795,24250
10/05/2013,12.9,0.407,26399
11/05/2013,10.2,0.63,16627
12/05/2013,10.3,3.799,15918
13/05/2013,11.9,0.203,24836
14/05/2013,9.3,3.808,18054
15/05/2013,9.4,4.022,24015
16/05/2013,10.1,0.402,26070
17/05/2013,10.3,0.012,24932
18/05/2013,12.2,0.199,22272
19/05/2013,13.8,0.0,23994
20/05/2013,14.6,0.201,25914
21/05/2013,13.6,0.199,27649
22/05/2013,11.7,0.0,26967
23/05/2013,8.7,0.201,24701
24/05/2013,7.1,9.179,12891
25/05/2013,10.5,0.606,21087
26/05/2013,13.2,0.0,27251
27/05/2013,13.0,0.0,25819
28/05/2013,11.3,14.392,14556
29/05/2013,11.2,0.202,21440
30/05/2013,12.9,6.0,22150
31/05/2013,16.2,0.0,29136
01/06/2013,14.7,0.0,24782
02/06/2013,14.9,0.0,27202
03/06/2013,13.9,0.0,29940
04/06/2013,14.8,0.0,32397
05/06/2013,14.0,0.0,32488
06/06/2013,15.1,0.0,32829
07/06/2013,15.3,0.203,28762
08/06/2013,13.3,0.0,27264
09/06/2013,12.4,0.0,19429
10/06/2013,12.5,0.0,27336
11/06/2013,14.1,0.002,26601
12/06/2013,15.9,0.404,24401
13/06/2013,14.8,1.002,26388
14/06/2013,14.4,0.004,28797
15/06/2013,14.1,10.362,16020
16/06/2013,14.4,0.2,19970
17/06/2013,16.7,0.199,28611
18/06/2013,17.4,0.0,30871
19/06/2013,20.3,0.596,31899
20/06/2013,18.4,0.199,29959
21/06/2013,17.2,0.199,28844
22/06/2013,14.8,2.999,19483
23/06/2013,14.9,0.202,19006
24/06/2013,13.6,1.197,27636
25/06/2013,15.8,0.0,31889
26/06/2013,16.5,0.0,31156
27/06/2013,15.6,0.199,27306
28/06/2013,16.2,1.603,22074
29/06/2013,17.5,0.0,29054
30/06/2013,20.2,0.0,31237
01/07/2013,16.9,0.0,31151
02/07/2013,15.2,0.001,30163
03/07/2013,17.1,0.011,30780
04/07/2013,18.2,0.0,32941
05/07/2013,19.5,0.0,34704
06/07/2013,20.8,0.0,34191
07/07/2013,21.8,0.0,31363
08/07/2013,20.7,0.0,34263
09/07/2013,19.0,0.0,35519
10/07/2013,18.7,0.0,33629
11/07/2013,16.0,0.0,33792
12/07/2013,17.8,6.949,33173
13/07/2013,22.9,0.0,33509
14/07/2013,23.4,0.0,32169
15/07/2013,24.5,0.0,34419
16/07/2013,24.1,0.0,35580
17/07/2013,24.5,0.0,35203
18/07/2013,22.7,0.0,35330
19/07/2013,22.0,0.0,35196
20/07/2013,19.8,0.0,28332
21/07/2013,20.6,0.0,30075
22/07/2013,24.8,0.001,33176
23/07/2013,22.9,3.583,31624
24/07/2013,21.0,0.0,34038
25/07/2013,20.8,7.184,33683
26/07/2013,21.0,0.0,34681
27/07/2013,20.8,0.002,25761
28/07/2013,19.5,7.005,28177
29/07/2013,19.3,2.996,30415
30/07/2013,17.7,5.013,22742
31/07/2013,19.7,0.598,28976
01/08/2013,25.2,0.0,34770
02/08/2013,21.0,0.009,29109
03/08/2013,19.1,0.016,34928
04/08/2013,18.9,0.002,32580
05/08/2013,19.0,0.067,23864
06/08/2013,17.5,0.004,33631
07/08/2013,18.5,0.0,33084
08/08/2013,18.5,0.0,33737
09/08/2013,19.5,0.011,28206
10/08/2013,18.1,0.0,28830
11/08/2013,18.9,0.0,29530
12/08/2013,17.3,0.0,30425
13/08/2013,15.6,0.002,30933
14/08/2013,16.8,0.002,31412
15/08/2013,19.8,0.014,30865
16/08/2013,18.8,0.006,25555
17/08/2013,17.2,0.001,23931
18/08/2013,19.0,0.003,26910
19/08/2013,18.1,0.0,31183
20/08/2013,18.5,0.0,33578
21/08/2013,19.7,0.0,33214
22/08/2013,18.4,0.026,22363
23/08/2013,20.9,0.0,30665
24/08/2013,18.0,0.087,7341
25/08/2013,17.7,0.085,21638
26/08/2013,19.8,0.001,27802
27/08/2013,17.8,0.0,29563
28/08/2013,18.2,0.0,32024
29/08/2013,19.0,0.0,31639
30/08/2013,19.6,0.0,31127
31/08/2013,17.3,0.0,29718
01/09/2013,16.0,0.0,23856
02/09/2013,18.6,0.0,31292
03/09/2013,19.6,0.0,31600
04/09/2013,20.2,0.0,33406
05/09/2013,21.8,0.0,33574
06/09/2013,16.1,0.805,20930
07/09/2013,14.5,0.013,21279
08/09/2013,12.7,0.008,18046
09/09/2013,11.6,0.036,17943
10/09/2013,13.1,0.004,24558
11/09/2013,14.3,0.006,23386
12/09/2013,14.9,0.014,24246
13/09/2013,16.4,0.025,15392
14/09/2013,11.9,0.175,12977
15/09/2013,11.8,0.011,4826
16/09/2013,11.6,0.01,21892
17/09/2013,11.2,0.036,18428
18/09/2013,13.1,0.023,25319
19/09/2013,12.1,0.008,18746
20/09/2013,13.7,0.0,26196
21/09/2013,14.8,0.0,21988
22/09/2013,17.0,0.0,22683
23/09/2013,16.1,0.0,26625
24/09/2013,16.0,0.001,28666
25/09/2013,17.1,0.002,28183
26/09/2013,16.0,0.003,28857
27/09/2013,14.1,0.0,27371
28/09/2013,15.5,0.0,21716
29/09/2013,15.4,0.002,20654
30/09/2013,15.7,0.0,27089
01/10/2013,14.9,0.0,27711
02/10/2013,16.0,0.001,26467
03/10/2013,16.3,0.008,25153
04/10/2013,18.0,0.01,26522
05/10/2013,15.8,0.0,22996
06/10/2013,14.2,0.0,25143
07/10/2013,14.6,0.001,26680
08/10/2013,16.7,0.0,27598
09/10/2013,14.1,0.0,26433
10/10/2013,9.6,0.001,23497
11/10/2013,11.4,0.065,15640
12/10/2013,11.7,0.033,17068
13/10/2013,10.3,0.089,7068
14/10/2013,9.9,0.022,18979
15/10/2013,10.6,0.009,24657
16/10/2013,10.7,0.031,20562
17/10/2013,14.1,0.001,25170
18/10/2013,13.7,0.001,24880
19/10/2013,15.2,0.007,17430
20/10/2013,14.2,0.296,11396
21/10/2013,15.8,0.012,21385
22/10/2013,16.8,0.02,22316
23/10/2013,14.5,0.048,24178
24/10/2013,12.0,0.0,26399
25/10/2013,15.9,0.012,23677
26/10/2013,15.5,0.016,16986
27/10/2013,13.9,0.036,15652
28/10/2013,12.6,0.167,14577
29/10/2013,9.3,0.0,23126
30/10/2013,9.7,0.001,24753
31/10/2013,12.6,0.024,20055
01/11/2013,12.6,0.01,20597
02/11/2013,12.0,0.012,15347
03/11/2013,9.3,0.0,13063
04/11/2013,7.6,0.124,20369
05/11/2013,8.9,0.063,19326
06/11/2013,12.0,0.01,18431
07/11/2013,10.6,0.01,22527
08/11/2013,7.6,1.22,15188
09/11/2013,5.7,0.026,6772
10/11/2013,6.2,0.005,9767
11/11/2013,9.3,0.017,14377
12/11/2013,11.0,0.019,19572
13/11/2013,6.4,0.001,22021
14/11/2013,8.4,0.001,21061
15/11/2013,6.9,0.0,20850
16/11/2013,5.9,0.001,15029
17/11/2013,9.3,0.0,12340
18/11/2013,8.8,0.003,18491
19/11/2013,4.4,0.002,20335
20/11/2013,3.3,0.024,14115
21/11/2013,5.7,0.03,18668
22/11/2013,5.9,0.0,18789
23/11/2013,5.9,0.0,13276
24/11/2013,7.1,0.001,10505
25/11/2013,6.1,0.0,19201
26/11/2013,6.1,0.0,20486
27/11/2013,8.5,0.001,20274
28/11/2013,9.4,0.0,20649
29/11/2013,8.7,0.001,19397
30/11/2013,7.0,0.0,13323
01/12/2013,6.6,0.0,11711
02/12/2013,8.5,0.0,19630
03/12/2013,6.5,0.0,20242
04/12/2013,6.3,0.0,20035
05/12/2013,5.6,0.997,18326
06/12/2013,6.0,0.0,18494
07/12/2013,7.6,0.0,13625
08/12/2013,8.2,0.0,13076
09/12/2013,7.7,0.002,19969
10/12/2013,6.0,0.201,20432
11/12/2013,4.0,0.202,19123
12/12/2013,5.5,0.2,19420
13/12/2013,10.4,0.203,16921
14/12/2013,8.4,1.992,14049
15/12/2013,11.2,1.222,8557
16/12/2013,11.6,6.816,13825
17/12/2013,6.2,12.003,15689
18/12/2013,8.7,1.997,17311
19/12/2013,7.0,6.029,17738
20/12/2013,6.7,4.002,18046
21/12/2013,10.9,7.198,5774
22/12/2013,8.3,1.022,9233
23/12/2013,9.2,9.018,6246
24/12/2013,8.6,18.278,6201
25/12/2013,5.2,4.01,27715
26/12/2013,4.2,3.993,7666
27/12/2013,9.2,0.227,7258
28/12/2013,5.8,0.0,10533
29/12/2013,4.0,0.201,10983
30/12/2013,8.9,3.024,8413
31/12/2013,8.3,3.232,7701
01/01/2014,9.1,11.857,4327
02/01/2014,9.1,5.394,15820
03/01/2014,9.0,6.03,11636
04/01/2014,8.0,5.239,6918
05/01/2014,6.0,0.201,9145
06/01/2014,11.6,11.02,13066
07/01/2014,10.7,3.628,17420
08/01/2014,9.6,1.999,19770
09/01/2014,9.0,3.993,19143
10/01/2014,6.8,0.203,18840
11/01/2014,6.8,0.603,15723
12/01/2014,4.7,0.201,11975
13/01/2014,7.5,5.008,17721
14/01/2014,5.1,0.598,20740
15/01/2014,9.7,2.423,19243
16/01/2014,9.2,1.413,18861
17/01/2014,7.6,15.834,17434
18/01/2014,8.9,0.613,15333
19/01/2014,7.2,1.196,16083
20/01/2014,4.9,0.199,21218
21/01/2014,5.1,0.001,21756
22/01/2014,7.8,0.235,21072
23/01/2014,5.8,3.193,20020
24/01/2014,5.9,0.0,19272
25/01/2014,8.5,7.001,14581
26/01/2014,6.0,4.024,7033
27/01/2014,5.0,0.808,18285
28/01/2014,6.6,1.025,19939
29/01/2014,4.8,11.033,10585
30/01/2014,4.7,4.986,17052
31/01/2014,5.5,0.654,13859
01/02/2014,7.5,2.709,13981
02/02/2014,7.6,6.351,15924
03/02/2014,6.5,0.002,20370
04/02/2014,7.1,0.005,21217
05/02/2014,8.2,0.119,29418
06/02/2014,8.0,5.036,25395
07/02/2014,8.0,7.452,19857
08/02/2014,8.0,6.025,10928
09/02/2014,7.0,0.803,11657
10/02/2014,5.9,2.983,19278
11/02/2014,5.6,2.214,18514
12/02/2014,6.3,6.024,18000
13/02/2014,5.8,0.002,20954
14/02/2014,7.2,9.022,12794
15/02/2014,8.6,2.213,11208
16/02/2014,6.2,0.198,18484
17/02/2014,8.2,0.2,19013
18/02/2014,8.6,4.019,19484
19/02/2014,7.8,0.006,21556
20/02/2014,10.2,1.011,19396
21/02/2014,6.9,0.001,21269
22/02/2014,8.1,0.0,20033
23/02/2014,10.5,0.003,13680
24/02/2014,10.9,0.201,21469
25/02/2014,9.1,3.001,20713
26/02/2014,7.8,0.0,23938
27/02/2014,7.8,2.405,20629
28/02/2014,5.5,5.593,13781
01/03/2014,5.9,1.998,18823
02/03/2014,7.1,0.4,11727
03/03/2014,6.3,10.002,18150
04/03/2014,5.9,0.2,23069
05/03/2014,7.2,0.2,25102
06/03/2014,9.3,0.0,24696
07/03/2014,10.8,0.0,24385
08/03/2014,11.6,0.0,25556
09/03/2014,13.2,0.0,33955
10/03/2014,9.3,0.0,24347
11/03/2014,8.7,0.0,23871
12/03/2014,9.4,0.0,27173
13/03/2014,10.7,0.199,27552
14/03/2014,10.7,0.001,28134
15/03/2014,12.2,0.0,29664
16/03/2014,13.1,0.0,34421
17/03/2014,10.3,0.0,26465
18/03/2014,10.5,0.001,25502
19/03/2014,10.7,0.0,26719
20/03/2014,10.5,0.0,23718
21/03/2014,9.3,3.202,23821
22/03/2014,7.4,4.987,19091
23/03/2014,6.7,0.002,17463
24/03/2014,6.4,0.199,24055
25/03/2014,7.5,1.417,19421
26/03/2014,5.2,3.19,20493
27/03/2014,6.7,0.005,23462
28/03/2014,8.7,0.199,24198
29/03/2014,13.0,0.0,29511
30/03/2014,14.2,0.0,26605
31/03/2014,14.2,0.199,26715
01/04/2014,13.7,0.402,29782
02/04/2014,13.9,0.0,28876
03/04/2014,14.0,0.0,28245
04/04/2014,12.9,0.0,27401
05/04/2014,11.6,0.0,25648
06/04/2014,13.8,2.005,16387
07/04/2014,13.3,0.614,18883
08/04/2014,10.0,2.005,26654
09/04/2014,11.2,0.198,29621
10/04/2014,12.0,0.0,29229
11/04/2014,13.1,0.0,28435
12/04/2014,11.0,0.0,25706
13/04/2014,12.3,0.0,31404
14/04/2014,11.5,0.0,28742
15/04/2014,9.6,0.0,30031
16/04/2014,10.7,0.0,30934
17/04/2014,12.2,0.0,27676
18/04/2014,9.9,0.0,22152
19/04/2014,9.4,0.0,21424
20/04/2014,10.2,10.976,7188
21/04/2014,12.7,0.633,20532
22/04/2014,12.3,5.25,22689
23/04/2014,12.6,0.201,27102
24/04/2014,13.3,1.007,29119
25/04/2014,10.9,0.24,20400
26/04/2014,12.0,0.413,25195
27/04/2014,11.9,0.011,21284
28/04/2014,13.3,0.003,29474
29/04/2014,13.1,0.003,46333
30/04/2014,13.3,0.0,49025
01/05/2014,11.6,7.99,16644
02/05/2014,10.4,2.995,26510
03/05/2014,9.3,0.0,31534
04/05/2014,11.4,0.0,33030
05/05/2014,13.4,0.0,33748
06/05/2014,15.2,0.202,32323
07/05/2014,13.5,0.404,28802
08/05/2014,13.0,4.008,19398
09/05/2014,14.1,0.399,30131
10/05/2014,13.1,6.389,19373
11/05/2014,11.5,0.202,17645
12/05/2014,12.2,0.406,26149
13/05/2014,10.8,12.984,25351
14/05/2014,13.4,0.802,34122
15/05/2014,14.7,0.198,35148
16/05/2014,16.0,0.0,36268
17/05/2014,17.4,0.0,38147
18/05/2014,18.6,0.0,43663
19/05/2014,19.6,0.0,37088
20/05/2014,17.4,0.0,33626
21/05/2014,15.2,0.002,34437
22/05/2014,14.7,9.021,30819
23/05/2014,14.4,0.216,30556
24/05/2014,12.8,4.039,18723
25/05/2014,14.1,0.002,33401
26/05/2014,12.3,9.378,12049
27/05/2014,12.6,5.792,14446
28/05/2014,12.4,8.001,21978
29/05/2014,15.2,2.004,29229
30/05/2014,14.1,0.0,31331
31/05/2014,14.5,0.0,35040
01/06/2014,17.0,0.0,36655
02/06/2014,17.0,0.796,33481
03/06/2014,15.1,2.985,29332
04/06/2014,12.5,1.623,25905
05/06/2014,14.1,1.015,34617
06/06/2014,16.1,0.0,37440
07/06/2014,18.1,3.013,29919
08/06/2014,19.1,0.001,44415
09/06/2014,19.8,0.003,34305
10/06/2014,17.9,4.184,40128
11/06/2014,17.3,0.0,39582
12/06/2014,19.8,0.0,39928
13/06/2014,20.2,0.0,40036
14/06/2014,18.3,0.821,32758
15/06/2014,15.6,0.0,28944
16/06/2014,15.1,0.0,31592
17/06/2014,16.5,0.0,37658
18/06/2014,17.2,0.199,35431
19/06/2014,16.3,0.0,36113
20/06/2014,16.9,0.0,36924
21/06/2014,18.9,0.0,42463
22/06/2014,19.3,0.0,41596
23/06/2014,19.2,0.0,35206
24/06/2014,18.9,0.994,38066
25/06/2014,16.5,0.0,39623
26/06/2014,16.2,0.0,35438
27/06/2014,17.5,1.993,35912
28/06/2014,15.3,8.99,20199
29/06/2014,15.0,0.599,26714
30/06/2014,15.3,1.011,32193
01/07/2014,17.6,0.199,39495
02/07/2014,18.2,0.0,40878
03/07/2014,20.4,0.0,43116
04/07/2014,20.3,0.0,38316
05/07/2014,18.1,0.209,27332
06/07/2014,16.8,0.603,31117
07/07/2014,16.2,2.385,36191
08/07/2014,15.8,0.034,35107
09/07/2014,18.2,1.03,38844
10/07/2014,16.6,0.2,32108
11/07/2014,16.0,4.179,27618
12/07/2014,19.8,0.0,38331
13/07/2014,19.9,1.222,33227
14/07/2014,18.6,0.0,38450
15/07/2014,21.0,0.002,40888
16/07/2014,20.7,0.0,42341
17/07/2014,22.5,0.0,42404
18/07/2014,24.4,2.025,40543
19/07/2014,23.2,1.214,37061
20/07/2014,21.0,0.396,34379
21/07/2014,21.6,0.397,38499
22/07/2014,21.5,0.198,42928
23/07/2014,22.0,0.0,42486
24/07/2014,22.7,0.0,42412
25/07/2014,20.3,2.028,31881
26/07/2014,23.1,0.595,43788
27/07/2014,21.9,0.198,39917
28/07/2014,19.9,0.346,36203
29/07/2014,21.5,0.001,42308
30/07/2014,20.6,0.0,43044
31/07/2014,20.5,0.0,41970
01/08/2014,19.8,0.0,40009
02/08/2014,19.3,0.007,38046
03/08/2014,18.4,0.0,41944
04/08/2014,19.1,0.0,39856
05/08/2014,19.3,0.0,40716
06/08/2014,20.5,9.371,38665
07/08/2014,21.2,0.0,42491
08/08/2014,20.1,0.002,34234
09/08/2014,18.1,8.08,47454
10/08/2014,17.7,17.354,23980
11/08/2014,16.2,0.254,31725
12/08/2014,15.7,0.598,34827
13/08/2014,16.9,2.0,37856
14/08/2014,15.7,6.994,27185
15/08/2014,16.4,0.597,32510
16/08/2014,16.8,0.0,47245
17/08/2014,16.4,0.799,39952
18/08/2014,14.8,1.994,30784
19/08/2014,13.9,1.193,35332
20/08/2014,13.8,0.0,36817
21/08/2014,13.6,0.0,33236
22/08/2014,15.7,0.2,34047
23/08/2014,14.3,1.006,29999
24/08/2014,13.7,0.199,30962
25/08/2014,15.2,30.108,6175
26/08/2014,15.4,12.968,18448
27/08/2014,15.9,0.002,32286
28/08/2014,18.4,0.206,31842
29/08/2014,17.2,0.005,32439
30/08/2014,17.5,1.194,30832
31/08/2014,17.0,0.0,33312
01/09/2014,15.8,0.801,27455
02/09/2014,17.4,1.992,36836
03/09/2014,18.6,0.001,36523
04/09/2014,17.9,0.001,35448
05/09/2014,17.5,0.0,35013
06/09/2014,18.4,0.0,33434
07/09/2014,17.0,0.0,34248
08/09/2014,16.7,0.0,36983
09/09/2014,16.8,0.0,37674
10/09/2014,15.6,0.0,37091
11/09/2014,15.5,0.0,35303
12/09/2014,17.5,0.0,37144
13/09/2014,16.7,0.001,34174
14/09/2014,16.7,0.0,31770
15/09/2014,16.8,0.001,36629
16/09/2014,18.1,0.0,37535
17/09/2014,18.0,0.0,38583
18/09/2014,19.5,0.0,38442
19/09/2014,19.8,5.186,36841
20/09/2014,17.5,4.175,31031
21/09/2014,15.3,0.202,33334
22/09/2014,13.8,0.001,35178
23/09/2014,13.4,0.0,36460
24/09/2014,14.7,1.01,32680
25/09/2014,13.7,0.0,35367
26/09/2014,17.3,0.0,35474
27/09/2014,17.5,0.0,35087
28/09/2014,18.5,0.0,37873
29/09/2014,16.2,0.4,31701
30/09/2014,17.6,0.0,37373
01/10/2014,17.5,0.996,32733
02/10/2014,17.3,0.0,36992
03/10/2014,16.7,0.0,37909
04/10/2014,13.6,5.015,18967
05/10/2014,10.3,0.001,33082
06/10/2014,11.5,2.029,24330
07/10/2014,11.3,6.394,31465
08/10/2014,12.8,7.98,23573
09/10/2014,13.5,4.181,26642
10/10/2014,13.5,1.029,32510
11/10/2014,13.1,0.61,30498
12/10/2014,11.2,2.999,23063
13/10/2014,13.0,27.777,13299
14/10/2014,13.5,6.99,28518
15/10/2014,13.7,0.416,25424
16/10/2014,14.8,6.004,31541
17/10/2014,16.1,1.001,32770
18/10/2014,18.2,0.401,28951
19/10/2014,17.0,4.18,30480
20/10/2014,14.4,0.001,31642
21/10/2014,12.6,3.194,24681
22/10/2014,10.3,0.198,30642
23/10/2014,14.0,0.0,31277
24/10/2014,15.3,0.004,29144
25/10/2014,12.0,0.201,30053
